ID,Project_Name,Bench_File_Name,Bench_Method_Name,itr_to_stds_avrg,itr_to_stds_std,Num_of_change_points_avrg,STD,AVRG,Bench_File_Nloc,Bench_Method_Nloc,Bench_Method_NestingLevel,Bench_Method_CCN,Bench_File_CCN_Avrg,Number_of_tryCatch,Number_of_switchCase,Number_of_systemCalls,Synchronization,Number_of_forLoops,Number_of_whileLoops,Number_of_packages,Number_of_functionCalls,Number_of_parameters,Benchmark_name_length,Number_of_no_steady_forks,class
91f071f1f69bf48297887879cf5e5613552a29bc,protostuff__protostuff,RuntimeSchemaBenchmark.java,runtime_sparse_deserialize_10_int_field,442.0,595.0,3.1,6.510561203965854e-08,1.8697149598627906e-07,277.0,6.0,1.0,1.0,1.0,0,0,0,0.0,0,0,22,2,0.0,27.0,0.0,1.0
fb2459909444ecbdf72e47a11179359e56778dcd,netty__netty,AsciiStringBenchmark.java,hashCodeBenchBytesOld,0.0,0.0,1.3,6.980091369978309e-09,1.831741358984838e-07,55.0,8.0,1.0,2.0,1.4,0,0,0,0.0,1,0,12,4,1.0,25.0,0.0,1.0
1c51969ca9fc7c1b5a7ac533bfa76899ac30ed88,apache__hive,VectorGroupByOperatorBench.java,testAggCount,4.0,11.0,1.8,1.043777362160196e-08,8.916152601977794e-08,177.0,3.0,1.0,1.0,1.3333333333333333,0,0,0,0.0,0,0,43,1,6.0,31.0,0.0,1.0
2b3a09d375526c8e9c7641660de34577306fb84e,apache__logging-log4j2,ThreadsafeDateFormatBenchmark.java,fastDateFormat,520.0,712.0,7.5,2.670391822625093e-07,6.53326795472796e-07,183.0,3.0,1.0,1.0,1.35,0,0,1,0.0,0,0,14,2,0.0,34.0,2.0,0.0
ca5d32819509b08c929db359c6f8dddad84e62f4,RoaringBitmap__RoaringBitmap,BatchIteratorBenchmark.java,batchIterate,322.0,2.0,3.5,0.0001180394211519,0.0012455212032963,54.0,11.0,1.0,3.0,2.0,0,0,0,0.0,1,1,3,3,4.0,27.0,0.0,1.0
99a981a434c91dca43ce78ae566b963df507783b,apache__hive,VectorGroupByOperatorBench.java,testAggCount,0.0,1.0,1.4,1.845295127079992e-08,1.0054900795607157e-07,177.0,3.0,1.0,1.0,1.3333333333333333,0,0,0,0.0,0,0,43,1,6.0,31.0,0.0,1.0
08e9f26e3ca1e054c7c50c347c05b306e6129d69,apache__camel,TypeConverterTest.java,typeConvertStringToInputStream,758.0,876.0,10.4,5.033782009946584e-07,2.751196876496022e-06,108.0,4.0,1.0,1.0,1.181818181818182,0,0,0,0.0,0,0,22,3,0.0,22.0,4.0,0.0
2ac4fe37cd482f2fe8c4e3f2128c715c96812857,hazelcast__hazelcast,OAHashSetBenchmark.java,contains_hz_OAHashSet,728.0,764.0,11.8,9.556251956303882e-08,3.92680388831207e-07,254.0,4.0,1.0,1.0,1.4545454545454546,0,0,0,0.0,0,0,24,2,1.0,23.0,1.0,0.0
8cb6a001e50e4a2245fc33cc0dbf50cfdd415f7c,apache__arrow,BitVectorHelperBenchmarks.java,allBitsNullBenchmark,554.0,886.0,4.2,3.8809731099836e-09,5.9997608783849e-08,137.0,4.0,1.0,1.0,1.3846153846153846,0,0,0,0.0,0,0,18,1,0.0,30.0,2.0,0.0
ad8c2170f7f9d23565dff6afa24a4dd450475034,prestodb__presto,StringFunctionsBenchmark.java,benchmarkSubstringStartLengthFromEnd,203.0,208.0,2.0,0.003357427346153,6.144470724273777e-05,218.0,6.0,1.0,1.0,1.1904761904761905,0,0,0,0.0,0,0,36,3,2.0,29.0,0.0,1.0
